,,,,,,,,,,,
,,,,M,mill/mill's trader,,,,,,
,,,,AD,authorized/sole distributor,,,,,,
,,,,S,stockist,,,,,,
,,,,SV,service,,,,,,
,,,,,,,,,,,
,Category,Priority,M/AD/S,SUPPLIER NAME,EMAIL,COUNTRY,Remarks,no telf,fax,PIC,
,PLATE SS ,4,M,ACERINOX ,juan.gaminde@gmail.com/indoatlantic@indoatlantic.com/juan.gaminde@indoatlantic.com,EUROPE,MILL ACERINOX,+62-21-7590 17 10,+62+21-7590 17 20,MR. GAMINDE,
,(PP01)Pipa CS smls non china,1,S,ANN AIK,michael@annaik.com.sg,SINGAPORE,,+65-6210 2727,,MR MICHAEL,
,FLANGES SS EX CHINA,,S,ANN AIK ,michael@annaik.com.sg,SINGAPORE,"MAX 24""",+65-6210 2727,,MR MICHAEL,
,FITTINGS BW SS SMLS (304/L & 316/L),,S,ANN AIK ,michael@annaik.com.sg,SINGAPORE,TAIWAN,+65-6210 2727,,MR MICHAEL,
,"FITTINGS BW SS WELD (S/D 24"")",,S,ANN AIK ,michael@annaik.com.sg,SINGAPORE,"MAX 16"" - Taiwan",+65-6210 2727,,MR MICHAEL,
,(PP09 &11) SS SMLS EX CHINA,1,S,ANN AIK ,michael@annaik.com.sg,SINGAPORE,,+65-6210 2727,,MR MICHAEL,
,(PP09 &11) SS WELD CHINA,1,S,ANN AIK,michael@annaik.com.sg,SINGAPORE,"up to 24""",+65-6210 2727,,MR MICHAEL,
,FLANGES (304/L & 316/L) SS EX CHINA,,S,ANN AIK ,michael@annaik.com.sg,SINGAPORE,"MAX 24"" ",+65-6210 2727,,MR MICHAEL,
,(PP09 &11) SS SMLS NON CHINA,3,S,ANGKASA PERINDO,aps.jakarta@angkasastainless.com,INDONESIA,,021-6254488,021 6295124,IBU LUCY,
,FITTINGS BW,,AD,ALLIED, alliedfittings@alliedfittings.com/ j.bathgate@alliedfittings.com,ITALY,"TECTUBI, RACCORDI FORGIATI","523,991,211",0523-991288,Joanne Bathgate, 
,FITTINGS BW CS Non China,2,S,ALVINDO,ira@alvindocs.com,INDONESIA,"STOCKIST ( MAX 24"" )",29339521 (134),690-0756,IRA,
,FLANGES NON CHINA,,S,ALVINDO,ira@alvindocs.com,INDONESIA,"STOCKIST ( MAX 24"" )",29339521 (134),690-0756,IRA,
,FLANGES CS CHINA,,S,ALVINDO,ira@alvindocs.com,INDONESIA,"STOCKIST ( MAX 24"" )",29339521 (134),690-0756,IRA,
,FITTINGS BW CS CHINA,1,S,ALVINDO,ira@alvindocs.com,INDONESIA,"STOCKIST ( MAX 24"" )",29339521 (134),690-0756,IRA,
,FORGED FITTINGS ,,S,ALVINDO,ira@alvindocs.com,INDONESIA,STOCKIST ,29339521 (134),690-0756,IRA,
,VALVE CHINA,2,S,ALVINDO,ira@alvindocs.com,INDONESIA,STOCKIST,29339521 (134),690-0756,IRA,
,(PP01)Pipa CS smls ex china,3,S,AMERICAN INTERNATIONAL INDUSTRY (AII),export2@aiigroup.com,SINGAPORE,"up to 24""",65-62651377,65 62654680,AGNES,
,"Pipa CS,LTCS smls non china",1,S,AMERICAN INTERNATIONAL INDUSTRY (AII),export2@aiigroup.com,SINGAPORE,"up to 24"" ( LTCS )",65-62651377,65 62654680,AGNES,
,(PP25) CS WELD (API-5L GR B / A53 GR B),,S,AMERICAN INTERNATIONAL INDUSTRY (AII),export2@aiigroup.com,SINGAPORE,"UP TO 36""",65-62651377,65 62654680,AGNES,
,FLANGES NON CHINA,,S,AMERICAN INTERNATIONAL INDUSTRY (AII),export2@aiigroup.com,SINGAPORE,"MAX 48"" - A350 Available ",65-62651377,65 62654680,AGNES,
,FITTINGS BW CS Non CHINA,,S,AMERICAN INTERNATIONAL INDUSTRY (AII),export2@aiigroup.com,SINGAPORE,"WPB s/d 48"" ; WPL6 s/d 24"" ",65-62651377,65 62654680,AGNES,
,FORGED FITTINGS Non CHINA,,S,AMERICAN INTERNATIONAL INDUSTRY (AII),export2@aiigroup.com,SINGAPORE,A350 Available ,65-62651377,65 62654680,AGNES,
,MACHINING,,SV,AMU,marketing3@ptamu.com,INDONESIA,,6593390174,6268580,KENNY,
,PLATE SS ,2,M,Aperam Stainless Services & Solutions International SAS,jean-charles.lemaitre@aperam.com,BRAZIL,MILL APERAM (MAX 50MM),T +66 2 237 5296 | M +66 95 4840989,,JEAN,
,"Pipa CS,LTCS smls non china",,S,APP (AMERICA PIPING),jhofman@amerpipe.com,USA,"MAX 24"" ",636-536 1775,,MR. JAMES,
,GASKET,1,M,AREZDA (INGI),ingi@arezdagasket.com,INDONESIA,,"6297243, 6396942",6498978,AINA,
,VALVE CHINA,4,S,ARITA,untoro@arita.co.id,INDONESIA,,+6221 651 9188,+6221 651 6107,PAK UNTORO,
,"Pipa CS,LTCS smls non china",,S,ARROW PIPE,rockwell@emirates.net.ae; dvs@arrowpipes,DUBAI,"MAX 24"" ",971-50-654 3389,,JAI LAHORI,
,Pipa CS SMLS non china,,M,ARCELOR MITTAL,stephanie.wong@arcelormittal.com,SOUTH AFRIKA,,+65 6733 9033 ,+65 6412 7720 ,STEPHANI,
,PLATE SS ,,M,AUTOKUMPU,Seth.Ong@outokumpu.com,FINLAND,,+65 6224 0887/+65 9784 9636 / +62 812 9007 0363,+65 6224 6171,Seth Ong,
,FITTINGS BW,,M,AWAJI, Alisa@awaji.co.th,THAILAND,"UP TO 24""","(662) 463-0074, (662)463-6235-7 (Ext: 168)",,Francis,
,PLATE SS ,1,M,BAHRU,juan.gaminde@gmail.com/indoatlantic@indoatlantic.com/juan.gaminde@indoatlantic.com,MALAYSIA,MILL BAHRU - UP TO 12 MM,+62-21-7590 17 10,+62+21-7590 17 20,Mr. GAMINDE,
,(PP01)Pipa CS smls ex china,5,S,BAJA INDO,indsteel@centrin.net.id,INDONESIA,"2""-24""",5441010/33839696/ 081310422254,5455239,Pak Jumidi,
,(PP01)Pipa CS smls ex china,4,S,BAJAMARGA KHARISMA UTAMA,bmku_mail@yahoo.com,INDONESIA,,(021)5450178,(021)5402734,Sonia,
,(PP25) CS WELD (API-5L GR B / A53 GR B),,M,BAKRIE PIPE,andi@bakrie-pipe.com ,INDONESIA,"MILL ( MAX 24"" )",0812-8116190,,Pak Andi,
,CASING & TUBING,,M,BAO TAO,lrl@ciec.com,CHINA,"UP TO 18""",+86-571-89732303/+86-15605711662,,Luo,
,FLANGE CS,,M,Bebitz Flanges Works Pvt Ltd.,sales@bebitz.in,INDIA,"MAX 35""",+91 8007770281,,Santanu Sutradhar ,
,FLANGE SS,,M,Bebitz Flanges Works Pvt Ltd.,sales@bebitz.in,INDIA,"MAX 35""",+91 8007770281,,Santanu Sutradhar ,
,FITTINGS BW,,M,BENKAN/BKL,akira.hirayama@thaibenkan.co.th ,THAILAND,"UP TO 80""","(662) 463-0074, (662)463-6235-7 (Ext: 168)",,Akira Hirayama,
,FITTINGS BW,,M,BENKAN JAPAN,"yukiko.kojima@benkan.com,masanobu.amamoto@benkan.com",JAPAN,,,,,
,"Pipa CS,LTCS smls non china",,M,BENTELER, sandra.schoenweis@benteler.com,GERMANY,"up to  4"" TUBOS ",5254 8120 4234,49 5254 8120 4289,SANDRA,
,FITTINGS BW ALLOY,,S,BUHLMANN,Malarkodi.Katan@buhlmann-group.com,SINGAPORE,STOCKIST,'+65 6417 0735,+65 6248 9026,MS. MALAKORDI,
,PIPE ALLOY smls non china,1,S,BUHLMANN,Malarkodi.Katan@buhlmann-group.com,SINGAPORE,,'+65 6417 0735,+65 6248 9026,MS. MALAKORDI,
,BOLT & NUT,,M,BUKIT BAJA,sales@bbn.co.id,INDONESIA,stud bolt & nut,021- 26564299 / 6250711 ,021- 6250712 ,Natalie,
,(PP25) CS WELD (API-5L GR B / A53 GR B),,M,BUMI KAYA STEEL,sales@bumikayasteel.com,INDONESIA,"up to 8""",6392408/'08557888000,6292973,KRISNAWAN,
,(PP09 &11) SS SMLS NON CHINA,2,S,BUMI MAS/BUTRACO,butraco99@gmail.com,INDONESIA,"STOCKIST ( MAX 24"" )",6406405,6450793,Bp.Yusuf/IBU ATI,
,FLANGES CS CHINA,,S,BUMI MAS/BUTRACO,butraco99@gmail.com,INDONESIA,"STOCKIST ( MAX 8"" )",6406405,6450793,Bp.Yusuf/IBU ATI,
,FITTINGS BW CS CHINA,3,S,BUMI MAS/BUTRACO,butraco99@gmail.com,INDONESIA,"STOCKIST ( MAX 24"" )",(021)62886992/98,(021)6598458,Bp.Yusuf/IBU ATI,
