ID,kat,type,brand,nama,alamat,cp,email,telp,fax,product,created_at,update_at,deleted_at
,INSERT,AD,china/ local,PT GIANT TECHNIK INDONESIA,RUKO MUTIARA BEKASI CENTER BLOK A/18,GANGGA,sugianto@giant-technik.com,021-88958834 / 88960447,88963727,INSERT / HOLDER,,,
,CRANE,T,Yale,PT PRIMACIPTA MEGAH JAYA,RUKO GRAND ARIES NIAGA BLOK E1/ 2G&2H,MAYRINA,stellanova.123@gmail.com,2129319420,29319421,"KONDUKTOR,OHC",,,
,POMPA,AD,india,PT DEVSAAN INDUSTECH,LTC LT UG BLOK A21 NO 6 & 7,RAKESH,devsaanindustech@gmail.com,62308030/62308035,62308035,POMPA RAKITAN,,,
,ROUNDBAR,AD,local,PT BHINNEKA BAJANAS,PONDOK CILEGON INDAH BLOK DI /15,RHAMA KUSUMAH,rama@bhinnekabajanas.com,0254-395460,,ROUND BAR POTONGAN,,,
,PENJAHIT,S,local,RINA TAILOR,CILEGON,FAUZI,,85946010227,,COVER MESIN ,,,
,KALIBRASI,M,local,METROLOGY GLOBAL SERVICE,SERPONG GARDEN E24/12A,tasniful fuad,mgs_kalibrasi@yahoo.com,021-75874753 / 081317589987,75874853,KALIBRASI ALAT UKUR,,,
,TRAINING,M,local,PT CRYSTALLY SCOPE,NAKULA E NO.34A CILEGON,CARYONO,official@crystally-scope.com,0254-385168; '08111200493/496,254396245,TRAINING ,,,
,GENERAL,AD,local,PT PRISAI ANUGRAH PRATAMA,JL KEMANGISAN ILIR NO.6 JAKARTA 11480,DEWI ANGGRAINI,dewi51@yahoo.com,021-5485576; '08126060633,021-5493616,DRAMIX STEEL FIBER,,,
,TOOLS,AD,,PT. Kawan Lama Sejahtera ,Jl. Puri Kencana No.1,M. Adriovani ( Ivan ),E-mail : sales1clg@kawanlama.com,Mobile : 0813-69112281 / 0878 7103 6334,,mesin / industrial tools,,,
,IT,AD,brother,PT. Airmas Perkasa,"Komplek Ketapang Indah Blok B3 No. 8-9, Jakarta Utara, RT.4/RW.7, Krukut, Tamansari, Komplek Ketapang Indah Blok B3 No. 8-9, Daerah Khusus Ibukota Jakarta 11140",,, (021) 6304444,,brother supplier,,,
,HOSE,T,local,PD MANTAP JAYA,Pertokoan Glodok Jaya lt dasar blok C no.52-53,Pak Nurdin,,021-6494495 / 6284047,021-6242817,HYDRAULIC HOSE & FITTINGS,,,
,CRANE,AD,hitachi,"Primisima Bintang Mas, PT",Lindeteves Trade Center Lt. GF2 Blok C16 No. 5,,sales@primisimabintangmas.co.id,(021)62201016/62201126,,"HITACHI Hoists, Electric Motors",,,
,MOBIL,AD,hino,Armindo,by passindo jayaindo,AYUNG,,081298861236; 021-4207757,021-4248655,Hino,,,
,KONTRAKTOR,M,,Aries Siok,,,'siokris_arris@yahoo.com',08990863897,,kontraktor,,,
,PIPE/CASING PROTECTOR,M,Appolo,Apollo AnekaPersada,"Komp. Kara Industrial Park, Blok C4 No.2 - Batam Centre",Jenny,Email    : jenzenny@gmail.com,Telp : +62 778 7481011, + 62 778 7481009,Pipe/casing protector,,,
,LISTRIK,AD,,"Berkah Cipta Persada, PT","Greenland IV, Sukamahi, Cikarang Pusat, Bekasi",sandy Gunawan,,021-89972631/89972633,021-89972634,Panel,,,
,IT,T,,BHINNEKA.COM,Mangga dua mall,Titi,titi.wahyuni@bhinneka.com,(021) 2929-2828 ext. 5537,(021) 425-7787,"IT (komputer,dll)",,,
,INTERIOR,M,local,Cahaya Benteng Mas,jl P jayakarta 151,agung 0858888336,agung@cahayabentengmas.co.id,021-6281964,,atap & dinding gelombang,,,
,PACKAGING,M,local,Cakra Anugrah Perkasa,JL. Kampung Bandan No. 10,Ibu Heni,,"021-93101998 , 69833121",021-6928753,"Label,sticker",,,
,CRANE,AD,Abus,"Chakraprima Gitanusa, PT",KOMP PERKANTORAN TOMANG TOL BLOK II NO.4-5 ,Anna : 08159419612 ,gitanusa@chakraprima.com,021-5803040,021-5903039,Abus (Crane),,,
,PACKAGING,M,local,Clear pack,"pergudangan Mutiara Kosambi 2 Blok B10 No. 12, ",Bpk. Joko Mulyadi (Hp.: 021-50228283),jmulyadi@clearpack.co.id,021-55913727 ,,"Strecth Film, Lakban",,,
